brand,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti,2007,70000,Petrol,Individual,Manual,First Owner,60000
Maruti,2007,50000,Petrol,Individual,Manual,First Owner,135000
Hyundai,2012,100000,Diesel,Individual,Manual,First Owner,600000
Datsun,2017,46000,Petrol,Individual,Manual,First Owner,250000
Honda,2014,141000,Diesel,Individual,Manual,Second Owner,450000
Maruti,2007,125000,Petrol,Individual,Manual,First Owner,140000
Hyundai,2016,25000,Petrol,Individual,Manual,First Owner,550000
Tata,2014,60000,Petrol,Individual,Manual,Second Owner,240000
Hyundai,2015,25000,Petrol,Individual,Manual,First Owner,850000
Maruti,2017,78000,CNG,Individual,Manual,First Owner,365000
Chevrolet,2015,35000,Petrol,Individual,Manual,First Owner,260000
Tata,2014,100000,Petrol,Individual,Manual,First Owner,250000
Toyota,2018,25000,Petrol,Dealer,Automatic,First Owner,1650000
Maruti,2007,70000,Petrol,Individual,Manual,First Owner,60000
Maruti,2007,50000,Petrol,Individual,Manual,First Owner,135000
Hyundai,2012,100000,Diesel,Individual,Manual,First Owner,600000
Datsun,2017,46000,Petrol,Individual,Manual,First Owner,250000
Honda,2014,141000,Diesel,Individual,Manual,Second Owner,450000
Maruti,2007,125000,Petrol,Individual,Manual,First Owner,140000
Hyundai,2016,25000,Petrol,Individual,Manual,First Owner,550000
Tata,2014,60000,Petrol,Individual,Manual,Second Owner,240000
Hyundai,2015,25000,Petrol,Individual,Manual,First Owner,850000
Maruti,2017,78000,CNG,Individual,Manual,First Owner,365000
Chevrolet,2015,35000,Petrol,Individual,Manual,First Owner,260000
Tata,2014,100000,Petrol,Individual,Manual,First Owner,250000
Toyota,2018,25000,Petrol,Dealer,Automatic,First Owner,1650000
Maruti,2015,24000,Petrol,Dealer,Manual,First Owner,585000
Hyundai,2019,5000,Diesel,Dealer,Manual,First Owner,1195000
Chevrolet,2013,33000,Diesel,Individual,Manual,Second Owner,390000
Jaguar,2014,28000,Diesel,Dealer,Automatic,First Owner,1964999
Mercedes-Benz,2013,59000,Diesel,Dealer,Automatic,First Owner,1425000
Maruti,2018,4500,Diesel,Dealer,Automatic,First Owner,975000
Audi,2011,175900,Diesel,Dealer,Automatic,First Owner,1190000
Honda,2018,14500,Petrol,Dealer,Manual,First Owner,930000
Tata,2018,15000,Petrol,Individual,Manual,First Owner,525000
Audi,2013,50000,Diesel,Dealer,Automatic,First Owner,1735000
Mercedes-Benz,2012,33800,Diesel,Dealer,Automatic,Second Owner,1375000
Skoda,2011,130400,Diesel,Dealer,Automatic,Second Owner,450000
Toyota,2016,50000,Petrol,Individual,Automatic,First Owner,900000
Toyota,2015,80000,Diesel,Individual,Manual,First Owner,1300000
Jeep,2019,10000,Petrol,Individual,Manual,First Owner,1400000
Mercedes-Benz,2010,119000,Petrol,Dealer,Automatic,First Owner,850000
Hyundai,2014,60000,Petrol,Individual,Manual,Fourth & Above Owner,229999
BMW,2013,75800,Diesel,Dealer,Automatic,Second Owner,1550000
Audi,2009,78000,Diesel,Dealer,Automatic,Third Owner,1250000
Hyundai,2012,40000,Diesel,Individual,Manual,First Owner,625000
Mahindra,2014,50000,Diesel,Individual,Manual,First Owner,1050000
Honda,2014,74000,Diesel,Individual,Manual,Second Owner,560000
Maruti,2014,64000,Petrol,Individual,Manual,Second Owner,290000
Maruti,2012,60000,Petrol,Individual,Manual,Second Owner,275000
Mahindra,2009,120000,Diesel,Individual,Manual,Second Owner,411000
Hyundai,2009,79000,Petrol,Individual,Manual,Third Owner,150000
Hyundai,2019,15000,Petrol,Individual,Manual,First Owner,500000
Maruti,2006,80000,Petrol,Individual,Manual,First Owner,100000
Maruti,2017,18500,Diesel,Dealer,Manual,First Owner,725000
Maruti,2018,10200,Petrol,Dealer,Manual,First Owner,401000
Hyundai,2018,29000,Diesel,Dealer,Manual,First Owner,750000
Maruti,2018,28000,Petrol,Dealer,Manual,First Owner,310000
Maruti,2016,46000,Diesel,Dealer,Manual,First Owner,665000
Hyundai,2014,70000,Diesel,Dealer,Manual,First Owner,465000
